% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
21812	1	2	4	0	28	1095	0	1	0
21812	1	7	2	0	26	903	0	1	0
21892	1	4	5	0	28	1095	0	1	0
21967	1	3	1	0	0	85	0	1	0
21972	1	3	1	0	0	85	0	1	0
22132	1	5	8	0	24	1692	0	1	0
22139	1	5	8	0	24	1692	0	0	0
22152	1	5	8	0	14	807	0	1	0
22212	1	6	6	0	8	437	0	1	0
22292	1	2	4	0	24	807	0	1	0
22292	1	7	2	0	16	453	0	1	0
22312	1	7	2	0	16	967	0	1	0
22372	1	4	5	0	28	1095	0	1	0
22407	1	3	1	0	2	137	0	1	0
22412	1	3	1	0	2	137	0	1	0
22612	1	5	8	0	22	1431	0	1	0
22692	1	6	6	0	14	807	0	1	0
22772	1	2	4	0	22	693	0	1	0
22772	1	7	2	0	18	549	0	1	0
22792	1	2	4	0	14	807	0	1	0
22852	1	4	5	0	14	389	0	1	0
22927	1	3	1	0	0	85	0	1	0
22932	1	3	1	0	0	85	0	1	0
23092	1	5	8	0	8	437	0	1	0
23172	1	6	6	0	18	1143	0	1	0
23252	1	2	4	0	28	1095	0	1	0
23252	1	7	2	0	28	1095	0	1	0
23332	1	4	5	0	24	807	0	1	0
23367	1	3	1	0	2	137	0	1	0
23372	1	3	1	0	2	137	0	1	0
23572	1	5	8	0	12	621	0	1	0
23652	1	6	6	0	20	1335	0	1	0
23732	1	2	4	0	28	1095	0	1	0
23732	1	7	2	0	24	807	0	1	0
23812	1	4	5	0	28	1095	0	1	0
24047	1	3	1	0	12	621	0	1	0
24052	1	3	1	0	14	389	0	1	0
24052	1	5	8	0	20	645	0	1	0
24132	1	6	6	0	18	1143	0	1	0
24152	1	6	6	0	18	1143	0	1	0
24212	1	2	4	0	14	389	0	1	0
24212	1	7	2	0	28	1095	0	1	0
24292	1	3	1	0	2	65	0	1	0
24292	1	4	5	0	24	807	0	1	0
24532	1	5	8	0	28	2292	0	1	0
24612	1	6	6	0	20	1335	0	1	0
24692	1	2	4	0	18	549	0	1	0
24692	1	7	2	0	22	693	0	1	0
24772	1	4	5	0	28	1095	0	1	0
24872	1	3	1	0	4	225	0	1	0
25012	1	5	8	0	24	1692	0	1	0
25092	1	6	6	0	6	325	0	1	0
25172	1	2	4	0	26	903	0	1	0
25172	1	7	2	0	28	1095	0	1	0
25252	1	3	1	0	6	153	0	1	0
25252	1	4	5	0	24	807	0	1	0
25492	1	5	8	0	22	1431	0	1	0
25572	1	6	6	0	8	437	0	1	0
25652	1	2	4	0	22	693	0	1	0
25652	1	7	2	0	28	1095	0	1	0
25732	1	3	1	0	12	301	0	1	0
25732	1	4	5	0	28	1095	0	1	0
25972	1	5	8	0	28	2292	0	1	0
26052	1	6	6	0	24	1692	0	1	0
26132	1	2	4	0	26	903	0	1	0
26132	1	7	2	0	28	1095	0	1	0
26212	1	3	1	0	0	41	0	1	0
26212	1	4	5	0	28	1095	0	1	0
26452	1	5	8	0	18	1143	0	1	0
26532	1	6	6	0	14	807	0	1	0
26612	1	2	4	0	0	41	0	1	0
26612	1	7	2	0	10	261	0	1	0
26692	1	3	1	0	6	153	0	1	0
26692	1	4	5	0	20	645	0	1	0
26712	1	4	5	0	20	1335	0	1	0
26932	1	5	8	0	26	1908	0	1	0
27012	1	6	6	0	22	1431	0	1	0
27092	1	2	4	0	24	807	0	1	0
27092	1	7	2	0	18	549	0	1	0
27172	1	4	5	0	6	153	0	1	0
27412	1	5	8	0	24	807	0	1	0
27492	1	6	6	0	14	389	0	1	0
27527	1	3	1	0	0	85	0	1	0
27532	1	3	1	0	0	85	0	1	0
27572	1	2	4	0	10	261	0	1	0
27592	1	7	2	0	22	1431	0	1	0
27652	1	4	5	0	22	693	0	1	0
27887	1	3	1	0	0	85	0	1	0
27892	1	3	1	0	0	41	0	1	0
27892	1	5	8	0	20	645	0	1	0
27972	1	6	6	0	20	1335	0	1	0
28052	1	2	4	0	22	693	0	1	0
28052	1	7	2	0	28	1095	0	1	0
28132	1	4	5	0	28	1095	0	1	0
28167	1	3	1	0	4	225	0	1	0
28172	1	3	1	0	4	225	0	1	0
28372	1	5	8	0	26	1908	0	1	0
28379	1	5	8	0	26	1908	0	0	0
28392	1	5	8	0	10	549	0	1	0
28452	1	6	6	0	18	1143	0	1	0
28532	1	2	4	0	26	903	0	1	0
28532	1	7	2	0	26	903	0	1	0
28552	1	2	4	0	24	1692	0	1	0
28612	1	4	5	0	18	549	0	1	0
28647	1	3	1	0	4	225	0	1	0
28652	1	3	1	0	4	225	0	1	0
28852	1	5	8	0	16	967	0	1	0
28932	1	6	6	0	28	2292	0	1	0
29012	1	2	4	0	8	209	0	1	0
29012	1	7	2	0	28	1095	0	1	0
29092	1	3	1	0	2	65	0	1	0
29092	1	4	5	0	20	645	0	1	0
29332	1	5	8	0	20	1335	0	1	0
29412	1	6	6	0	14	807	0	1	0
29432	1	6	6	0	14	807	0	1	0
29492	1	2	4	0	0	41	0	1	0
29492	1	7	2	0	6	153	0	1	0
29572	1	4	5	0	26	903	0	1	0
29807	1	3	1	0	0	85	0	1	0
29812	1	3	1	0	2	65	0	1	0
29812	1	5	8	0	16	453	0	1	0
29892	1	6	6	0	26	1908	0	1	0
29920	1	6	6	0	26	1908	0	1	0
29932	1	6	6	0	12	621	0	1	0
29972	1	2	4	0	8	209	0	1	0
29972	1	7	2	0	14	389	0	1	0
